Drug_Name,Pattern
Ethinyl Estradiol-Norgestrel Combination,Pulmonary embolism
GABA-B Receptor Agonists,Pulmonary embolism
Hematinics,Pulmonary embolism
Nelfinavir,Pulmonary embolism
Phenothiazines,Pulmonary embolism
Polyphosphates,Pulmonary embolism
Progesterone Congeners,Pulmonary embolism
Succinylcholine,Pulmonary embolism
Tranexamic Acid,Pulmonary embolism
VACOP-B protocol,Pulmonary embolism
Heparin,Pulmonary embolism
Mannitol,Pulmonary embolism
Fibrinolytic Agents,Pulmonary embolism
"Heparin, Low-Molecular-Weight",Pulmonary embolism
Dust,ILD
"Asbestos, Serpentine",ILD
Quartz,ILD
polyhexamethyleneguanidine,ILD
Mustard Gas,ILD
Sulfur Dioxide,ILD
"lipopolysaccharide, E coli O55-B5",ILD
Monocrotaline,ILD
"lipopolysaccharide, Escherichia coli O111 B4",ILD
Asbestos,ILD
Nicotine,ILD
Sulfasalazine,ILD
2-chloroethyl ethyl sulfide,ILD
Cobalt,ILD
diisononyl phthalate,ILD
7-Ala-angiotensin (1-7),ILD
didecyldimethylammonium,ILD
ceric oxide,ILD
"Asbestos, Amphibole",ILD
nickel chloride,ILD
Paclitaxel,ILD
Silicon,ILD
Mechlorethamine,ILD
"Asbestos, Crocidolite",ILD
sodium bichromate,ILD
Nickel,ILD
arsenite,ILD
Chlorine,ILD
"2-(1-carboxy-2-(3-(3,5-dichlorobenzyl)-3H-imidazol-4-yl)ethylamino)-4-methylpentanoic acid",ILD
Soot,ILD
Sodium Fluoride,ILD
cobaltous chloride,ILD
chromium hexavalent ion,ILD
"Nanotubes, Carbon",ILD
Cadmium,ILD
Formaldehyde,ILD
1-nitropyrene,ILD
Ozone,ILD
Silicon Dioxide,ILD
Sodium Nitrite,ILD
Particulate Matter,ILD
perfluorooctane sulfonic acid,ILD
Vehicle Emissions,ILD
sodium arsenite,ILD
Reactive Oxygen Species,ILD
chrysene,ILD
Tobacco Smoke Pollution,ILD
Lipopolysaccharides,ILD
nickel monoxide,ILD
titanium dioxide,ILD
Air Pollutants,ILD
Radon,ILD
"Asbestos, Amosite",ILD
Beryllium,ILD
Smoke,ILD
ammonium perchlorate,ILD
Copper Sulfate,ILD
Iron,ILD
Nitrofurantoin,ILD
"N-(1,3-dimethylbutyl)-N'-phenyl-p-phenylenediamine quinone",ILD
silicon carbide,ILD
Valproic Acid,ILD
neodymium oxide,ILD
Polypropylenes,ILD
Coal,ILD
bleomycetin,ILD
"Air Pollutants, Occupational",ILD
RCF-1 fiber,ILD
methyl isocyanate,ILD
bisphenol A,ILD
Minocycline,ILD
Carboplatin,ILD
Environmental Pollutants,ILD
Polystyrenes,ILD
Benzene,ILD
Ovalbumin,ILD
trofosfamide,ILD
Crack Cocaine,ILD
Cyclophosphamide,ILD
vermiculite,ILD
Aldicarb,ILD
DDT,ILD
Hexachlorocyclohexane,ILD
"Hydrocarbons, Chlorinated",ILD
Pesticides,ILD
Antigens,ILD
Propylthiouracil,ILD
"amphotericin B, deoxycholate drug combination",ILD
Erlotinib Hydrochloride,ILD
Free Radicals,ILD
Mineral Oil,ILD
octamethylcyclotetrasiloxane,ILD
oligo(2-(2-ethoxy)-ethoxyethyl)guanidinium-chloride,ILD
Phytol,ILD
Thalidomide,ILD
zinc chromate,ILD
Silicates,ILD
Carbon Fiber,ILD
cyclocreatine,ILD
Ergotamines,ILD
manganese dioxide,ILD
"Trimethoprim, Sulfamethoxazole Drug Combination",ILD
Tripelennamine,ILD
Interferon-alpha,ILD
Silicon Compounds,ILD
Oxygen,ILD
Dexamethasone,ILD
