Drug_Name,Pattern,PubChem_ID,Source,norm,SMILES
Ceftobiprole,ADReCS: Respiratory disorders NEC,135413542,ADReCS_only,ceftobiprole,Nc1nc(C(=NO)C(=O)NC2C(=O)N3C(C(=O)O)=C(C=C4CCN(C5CCNC5)C4=O)CSC23)ns1
Cenobamate,ADReCS: Respiratory signs and symptoms NEC,11962412,ADReCS_only,cenobamate,NC(=O)OC(Cn1ncnn1)c1ccccc1Cl
Cephradine,ADReCS: Respiratory signs and symptoms NEC,38103,ADReCS_only,cephradine,CC1=C(C(=O)O)N2C(=O)C(NC(=O)C(N)C3=CCC=CC3)C2SC1
Cerivastatin,ADReCS: Bronchitis,446156,ADReCS_only,cerivastatin,COCc1c(-c2ccc(F)cc2)c(=CCC(O)CC(O)CC(=O)O)c(C(C)C)nc1=C(C)C
Cetrorelix,ADReCS: Thoracic disorders (excl lung and pleura),25074887,ADReCS_only,cetrorelix,CC(=O)NC(Cc1ccc2ccccc2c1)C(=O)NC(Cc1ccc(Cl)cc1)C(=O)NC(Cc1cccnc1)C(=O)NC(CO)C(=O)NC(Cc1ccc(O)cc1)C(=O)NC(CCCNC(N)=O)C(=O)NC(CC(C)C)C(=O)NC(CCCN=C(N)N)C(=O)N1CCCC1C(=O)NC(C)C(N)=O
Cevimeline,ADReCS: Asthma,2684,ADReCS_only,cevimeline,CC1OC2(CS1)CN1CCC2CC1
Chloral hydrate,"ADReCS: Respiratory, thoracic and mediastinal disorders",2707,ADReCS_only,chloral hydrate,OC(O)C(Cl)(Cl)Cl
Chloramphenicol,ADReCS: Neonatal cardiovascular disorders (excl cardiorespiratory arrest),5959,ADReCS_only,chloramphenicol,O=C(NC(CO)C(O)c1ccc([N+](=O)[O-])cc1)C(Cl)Cl
Chloramphenicol sodium succinate,"ADReCS: Respiratory, thoracic and mediastinal disorders",656833,ADReCS_only,chloramphenicol succinate,O=C([O-])CCC(=O)OCC(NC(=O)C(Cl)Cl)C(O)c1ccc([N+](=O)[O-])cc1
Chloroprocaine,ADReCS: Respiratory arrest,8612,ADReCS_only,chloroprocaine,CCN(CC)CCOC(=O)c1ccc(N)cc1Cl
Chlorthalidone,ADReCS: Lower respiratory tract disorders (excl obstruction and infection),2732,ADReCS_only,chlorthalidone,NS(=O)(=O)c1cc(C2(O)NC(=O)c3ccccc32)ccc1Cl
Chlorzoxazone,"ADReCS: Respiratory, thoracic and mediastinal disorders",2733,ADReCS_only,chlorzoxazone,O=c1[nH]c2cc(Cl)ccc2o1
Ciclesonide,ADReCS: Asthma,6918155,ADReCS_only,ciclesonide,CC(C)C(=O)OCC(=O)C12OC(C3CCCCC3)OC1CC1C3CC=C4CC(=O)C=CC4(C)C3C(O)CC12C
Cidofovir,ADReCS: Asthma,60613,ADReCS_only,cidofovir,Nc1ccn(CC(CO)OCP(=O)(O)O)c(=O)n1
Cinoxacin,"ADReCS: Respiratory, thoracic and mediastinal disorders",2762,ADReCS_only,cinoxacin,CCn1nc(C(=O)O)c(=O)c2cc3c(cc21)OCO3
Citric acid,ADReCS: Respiratory disorders NEC,311,ADReCS_only,citric acid,O=C(O)CC(O)(CC(=O)O)C(=O)O
Clobazam,ADReCS: Asthma,2789,ADReCS_only,clobazam,CN1C(=O)CC(=O)N(c2ccccc2)c2cc(Cl)ccc21
