SMILES,Drug_Name,Pattern
O=c1[nH]c(O)cn1N=Cc1ccc([N+](=O)[O-])o1,Nitrofurantoin,Pleural effusion
O=c1[nH]c(O)cn1N=Cc1ccc([N+](=O)[O-])o1,Nitrofurantoin,Pulmonary edema
O=c1[nH]c(O)cn1N=Cc1ccc([N+](=O)[O-])o1,Nitrofurantoin,ILD
CC(C)(c1ccc(O)cc1)c1ccc(O)cc1,bisphenol A,Pulmonary edema
CC(C)(c1ccc(O)cc1)c1ccc(O)cc1,bisphenol A,ILD
O=S(=O)(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,perfluorooctane sulfonic acid,Pulmonary edema
O=S(=O)(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,perfluorooctane sulfonic acid,ILD
O=C1NC(=O)C(=O)C(=O)N1,Alloxan,Pulmonary edema
CCO,Ethanol,Pulmonary edema
CCCCCCCCC=CCCCCCCCC(=O)O,Oleic Acid,Pulmonary edema
CCOP(=S)(OCC)Oc1nc(Cl)c(Cl)cc1Cl,Chlorpyrifos,Pulmonary edema
CC(=O)N(CC(O)CO)c1c(I)c(C(=O)NCC(O)CO)c(I)c(C(=O)NCC(O)CO)c1I,Iohexol,Pulmonary edema
CCCCCC(O)C=CC1C(O)CC(O)C1CC=CCCCC(=O)O,Dinoprost,Pulmonary edema
CC(=O)Oc1ccccc1C(=O)O,Aspirin,Pulmonary edema
CCCCCC=CCC=CCC=CCC=CCCCC(=O)OC(CO)CO,glyceryl 2-arachidonate,Pulmonary edema
CCCCCCC(C)(C)c1ccc(C2CC(O)CCC2CCCO)c(O)c1,"3-(2-hydroxy-4-(1,1-dimethylheptyl)phenyl)-4-(3-hydroxypropyl)cyclohexanol",Pulmonary edema
CC1(C(=O)O)CCC2(C)CCC3(C)C(=C2C1)CC(=O)C1C2(C)CCC(OC4OC(C(=O)O)C(O)C(O)C4OC4OC(C(=O)O)C(O)C(O)C4O)C(C)(C)C2CCC13C,Glycyrrhizic Acid,Pulmonary edema
NC(=S)Nc1cccc2ccccc12,alpha-naphthyl thiourea,Pulmonary edema
O=[N+]([O-])NC1=NCCN1Cc1ccc(Cl)nc1,imidacloprid,Pulmonary edema
CNC(C)Cc1ccccc1,Methamphetamine,Pulmonary edema
C=C1CC(=CC)C(=O)OC2CCN3CC=C(COC(=O)C1(O)CO)C23,riddelliine,Pulmonary edema
O=C(Cl)Cl,Phosgene,Pulmonary edema
CCCCCc1cc(O)c2c(c1)OC(C)(C)C1CCC(C)=CC21,Dronabinol,Pulmonary edema
C=CCCl,allyl chloride,Pulmonary edema
CCCCCCCCCC[N+](C)(C)CCCCCCCCCC,didecyldimethylammonium,Pulmonary edema
CCCCCCCCCC[N+](C)(C)CCCCCCCCCC,didecyldimethylammonium,ILD
CN(C)CCC=C1c2ccccc2CCc2ccccc21,Amitriptyline,Pulmonary edema
C=c1c(N)c(O)c2c(c1O)N1CC3NC3C1(OC)C=2COC(N)=O,Mitomycin,Pulmonary edema
CN1CCCC1c1cccnc1,Nicotine,Pulmonary edema
CN1CCCC1c1cccnc1,Nicotine,ILD
CCN(CC)CC(=O)Nc1c(C)cccc1C,Lidocaine,Pulmonary edema
ClCCSCCCl,Mustard Gas,Pulmonary edema
ClCCSCCCl,Mustard Gas,Pulmonary embolism
ClCCSCCCl,Mustard Gas,ILD
CNC1(c2ccccc2Cl)CCCCC1=O,Ketamine,Pulmonary edema
CC(N)Cc1ccccc1,Amphetamine,Pulmonary edema
CNC(C)C(O)c1ccccc1,Ephedrine,Pulmonary edema
CC(OP(C)(=O)F)C(C)(C)C,Soman,Pulmonary edema
CC(=O)Oc1ccc2c3c1OC1C(OC(C)=O)C=CC4C(C2)N(C)CCC341,Heroin,Pulmonary edema
CCN(CC)C(=S)SSC(=S)N(CC)CC,Disulfiram,Pulmonary edema
C=CC=O,Acrolein,Pulmonary edema
CN(CCCl)CCCl,Mechlorethamine,Pulmonary edema
CN(CCCl)CCCl,Mechlorethamine,ILD
CCCCCC(O)CCC1C(O)CC(=O)C1CCCCCCC(=O)O,"13,14-dihydroprostaglandin E1",Pulmonary edema
CCCCN1CCCCC1C(=O)Nc1c(C)cccc1C,Bupivacaine,Pulmonary edema
COC(=O)C1C(OC(=O)c2ccccc2)CC2CCC1N2C,Crack Cocaine,Pulmonary edema
COC(=O)C1C(OC(=O)c2ccccc2)CC2CCC1N2C,Crack Cocaine,ILD
CN(CC(=O)O)C(=N)N,Creatine,Pulmonary edema
NC1=NCCN1CC(=O)O,cyclocreatine,Pulmonary edema
NC1=NCCN1CC(=O)O,cyclocreatine,ILD
CC(=O)Nc1c(I)c(NC(C)=O)c(I)c(C(=O)O)c1I,Diatrizoate,Pulmonary edema
