Drug_Name,SMILES,PubChem_ID,CID,CID_Source,score,status,PUG_View,Assay_Summary
Bezafibrate,CC(C)(Oc1ccc(CCNC(=O)c2ccc(Cl)cc2)cc1)C(=O)O,39042.0,39042.0,PubChem_ID,4,ok,4,0
Bisoprolol,CC(C)NCC(O)COc1ccc(COCCOC(C)C)cc1,2405.0,2405.0,PubChem_ID,137,ok,137,0
Bromadiolone,O=c1c(C(CC(O)c2ccc(-c3ccc(Br)cc3)cc2)c2ccccc2)c(O)oc2ccccc12,54680085.0,54680085.0,PubChem_ID,181,ok,181,0
"Butanediol (1,4-butanediol)",OCCCCO,8064.0,8064.0,PubChem_ID,148,ok,148,0
Butyrfentanyl,CCCC(=O)N(c1ccccc1)C1CCN(CCc2ccccc2)CC1,621174.0,621174.0,PubChem_ID,3,ok,3,0
Caffeine,Cn1c(=O)c2c(ncn2C)n(C)c1=O,2519.0,2519.0,PubChem_ID,384,ok,384,0
Camphor,CC12CCC(CC1=O)C2(C)C,2537.0,2537.0,PubChem_ID,142,ok,142,0
Candesartan,CCOc1nc2cccc(C(=O)O)c2n1Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1,2541.0,2541.0,PubChem_ID,117,ok,117,0
Cangrelor,CSCCNc1nc(SCCC(F)(F)F)nc2c1ncn2C1OC(COP(=O)(O)OP(=O)(O)C(Cl)(Cl)P(=O)(O)O)C(O)C1O,9854012.0,9854012.0,PubChem_ID,198,ok,198,0
Capsaicin,COc1cc(CNC(=O)CCCCC=CC(C)C)ccc1O,1548943.0,1548943.0,PubChem_ID,225,ok,225,0
Carbapenems,O=C(O)C1=CCC2CC(=O)N12,134085.0,134085.0,PubChem_ID,0,ok,0,0
Carbon dioxide (CO2),O=C=O,280.0,280.0,PubChem_ID,226,ok,226,0
Carisoprodol,CCCC(C)(COC(N)=O)COC(=O)NC(C)C,2576.0,2576.0,PubChem_ID,121,ok,121,0
Carteolol,CC(C)(C)NCC(O)COc1cccc2c1CCC(=O)N2,2583.0,2583.0,PubChem_ID,0,ok,0,0
Cefazolin,Cc1nnc(SCC2=C(C(=O)O)N3C(=O)C(NC(=O)Cn4cnnn4)C3SC2)s1,33255.0,33255.0,PubChem_ID,102,ok,102,0
,COC1(NC(O)=c2sc(=C(C(N)=O)C(=O)O)s2)C(=O)N2C(C(=O)O)=C(CSc3nnnn3C)CSC21,53025.0,53025.0,PubChem_ID,0,ok,0,0
Cefuroxime,CON=C(C(=O)NC1C(=O)N2C(C(=O)O)=C(COC(N)=O)CSC12)c1ccco1,5479529.0,5479529.0,PubChem_ID,41,ok,41,0
Cefuroxime axetil,CON=C(C(=O)NC1C(=O)N2C(C(=O)OC(C)OC(C)=O)=C(COC(N)=O)CSC12)c1ccco1,6321416.0,6321416.0,PubChem_ID,113,ok,113,0
Cisapride,COc1cc(N)c(Cl)cc1C(=O)NC1CCN(CCCOc2ccc(F)cc2)CC1OC,6917698.0,6917698.0,PubChem_ID,44,ok,44,0
Clenbuterol,CC(C)(C)NCC(O)c1cc(Cl)c(N)c(Cl)c1,2783.0,2783.0,PubChem_ID,5,ok,5,0
Clofarabine,Nc1nc(Cl)nc2c1ncn2C1OC(CO)C(O)C1F,119182.0,119182.0,PubChem_ID,10,ok,10,0
Clonazepam,O=C1CN=C(c2ccccc2Cl)c2cc([N+](=O)[O-])ccc2N1,2802.0,2802.0,PubChem_ID,178,ok,178,0
Clonidine,Clc1cccc(Cl)c1NC1=NCCN1,2803.0,2803.0,PubChem_ID,181,ok,181,0
Dasabuvir,COc1c(-c2ccc3cc(NS(C)(=O)=O)ccc3c2)cc(-n2ccc(=O)[nH]c2=O)cc1C(C)(C)C,56640146.0,56640146.0,PubChem_ID,0,ok,0,0
Daunorubicin,COc1cccc2c(O)c3c(c(O)c12)C(=O)C1=C(CC(O)(C(C)=O)CC1OC1CC(N)C(O)C(C)O1)C3=O,30323.0,30323.0,PubChem_ID,104,ok,104,0
Dexmedetomidine,Cc1cccc(C(C)c2c[nH]cn2)c1C,5311068.0,5311068.0,PubChem_ID,9,ok,9,0
Diacetylmorphine,CC(=O)Oc1ccc2c3c1OC1C(OC(C)=O)C=CC4C(C2)N(C)CCC341,5462328.0,5462328.0,PubChem_ID,216,ok,216,0
Diazepam,CN1C(=O)CN=C(c2ccccc2)c2cc(Cl)ccc21,3016.0,3016.0,PubChem_ID,390,ok,390,0
Diethylene glycol,OCCOCCO,8117.0,8117.0,PubChem_ID,124,ok,124,0
Difenacoum,O=c1c(C2CC(c3ccc(-c4ccccc4)cc3)Cc3ccccc32)c(O)oc2ccccc12,54676884.0,54676884.0,PubChem_ID,157,ok,157,0
Difluoroethane,CC(F)F,6368.0,6368.0,PubChem_ID,123,ok,123,0
Digoxin,CC1OC(OC2C(O)CC(OC3C(O)CC(OC4CCC5(C)C(CCC6C5CC(O)C5(C)C(C7=CC(=O)OC7)CCC65O)C4)OC3C)OC2C)CC(O)C1O,2724385.0,2724385.0,PubChem_ID,279,ok,279,0
Dihydrocodeine,COc1ccc2c3c1OC1C(O)CCC4C(C2)N(C)CCC341,5284543.0,5284543.0,PubChem_ID,3,ok,3,0
Dihydropyridine,C1=CCNC=C1,407038.0,407038.0,PubChem_ID,0,ok,0,0
Dimethylaminoethanol,CN(C)CCO,7902.0,7902.0,PubChem_ID,176,ok,176,0
Distigmine,CN(CCCCCCN(C)C(=O)Oc1ccc[n+](C)c1)C(=O)Oc1ccc[n+](C)c1,3116.0,3116.0,PubChem_ID,0,ok,0,0
Droperidol,O=C(CCCN1CC=C(n2c(=O)[nH]c3ccccc32)CC1)c1ccc(F)cc1,3168.0,3168.0,PubChem_ID,216,ok,216,0
