smiles,Drug_Name,norm,PubChem_ID
CCC(=O)OCC(=O)C1(OC(=O)CC)C(C)CC2C3CC=C4CC(=O)C=CC4(C)C3(Cl)C(O)CC21C,Beclomethasone dipropionate,beclomethasone dipropionate,21700
COc1nc2ccc(Br)cc2cc1C(c1ccccc1)C(O)(CCN(C)C)c1cccc2ccccc12,Bedaquiline,bedaquiline,5388906
O=S(=O)(Nc1ccccc1)c1cccc(C=CC(O)=NO)c1,Belinostat,belinostat,6918638
CC(C)NC(=O)COc1cccc(-c2nc(Nc3ccc4[nH]ncc4c3)c3ccccc3n2)c1,Belumosudil,belumosudil,11950170
CC(C)(CCCCCC(O)CCCCCC(C)(C)C(=O)O)C(=O)O,Bempedoic acid,bempedoic acid,10472693
O=C(O)CN1C(=O)C(NC(CCc2ccccc2)C(=O)O)CCc2ccccc21,Benazeprilat,benazeprilat,5463984
NS(=O)(=O)c1cc2c(cc1C(F)(F)F)NC(Cc1ccccc1)NS2(=O)=O,Bendroflumethiazide,bendroflumethiazide,2315
CCOC(=O)c1ccc(N)cc1,Benzocaine,benzocaine,2337
O=C(OOC(=O)c1ccccc1)c1ccccc1,Benzoyl peroxide,benzoyl peroxide,7187
CN1C2CCC1CC(OC(c1ccccc1)c1ccccc1)C2,Benztropine,benztropine,1201549
CN(C)CCCOc1nn(Cc2ccccc2)c2ccccc12,Benzydamine,benzydamine,12555
CC1(C)SC(C(NC(=O)Cc2ccccc2)C(=O)NCCCCCC(=O)O)NC1C(=O)O,Benzylpenicilloyl g,benzylpenicilloyl g,119212
O=C(O)CCCN1CCC(OC(c2ccc(Cl)cc2)c2ccccn2)CC1,Bepotastine,bepotastine,164522
OCC1OC(O)C(O)C(O)C1O,Beta-d-glucose,beta-d-glucose,64689
C[N+](C)(C)CC(=O)[O-],Betaine,betaine,247
O=C(O)CNC(=O)CNC(=O)CNC(=O)CSC(=O)c1ccccc1,Betiatide,betiatide,185457
C=C(c1ccc(C(=O)O)cc1)c1cc2c(cc1C)C(C)(C)CCC2(C)C,Bexarotene,bexarotene,82146
O=C([O-])O,Potassium bicarbonate,bicarbonate,516893
N=C(N)N=C(N)N,Biguanide,biguanide,5939
CCOCCn1c(C2CCN(CCc3ccc(C(C)(C)C(=O)O)cc3)CC2)nc2ccccc21,Bilastine,bilastine,185460
CCNC(=O)CCCC=CCC1C(O)CC(O)C1C=CC(O)CCc1ccccc1,Bimatoprost,bimatoprost,5311027
Cn1cnc2c(F)c(Nc3ccc(Br)cc3F)c(C(=O)NOCCO)cc21,Binimetinib,binimetinib,10288191
CC(=O)Oc1ccc(C(c2ccc(OC(C)=O)cc2)c2ccccn2)cc1,Bisacodyl,bisacodyl,2391
CC(C)(C)NC(=O)NC(C(=O)N1CC2C(C1C(=O)NC(CC1CCC1)C(=O)C(N)=O)C2(C)C)C(C)(C)C,Boceprevir,boceprevir,10324367
COc1ccccc1Oc1c(NS(=O)(=O)c2ccc(C(C)(C)C)cc2)nc(-c2ncccn2)nc1OCCO,Bosentan,bosentan,104865
CC[N+](C)(C)Cc1ccccc1Br,Bretylium,bretylium,2431
O=c1ccc2ccc(OCCCCN3CCN(c4cccc5sccc45)CC3)cc2[nH]1,Brexpiprazole,brexpiprazole,11978813
Brc1c(NC2=NCCN2)ccc2nccnc12,Brimonidine,brimonidine,2435
CCNC1CN(CCCOC)S(=O)(=O)c2sc(S(N)(=O)=O)cc21,Brinzolamide,brinzolamide,68844
