Drug_Name,PubChem_ID
Opium,NOT_FOUND
Organic dust,NOT_FOUND
Organomercurials (Methyl- ethyl-mercury),NOT_FOUND
Organophosphates,NOT_FOUND
Ornipressin,14257660
Osmotherapy,NOT_FOUND
Ovarian stimulation,NOT_FOUND
Oxaliplatin-based regimens,NOT_FOUND
Oxetorone,36846
"Oxygen (dioxygen, O2)",NOT_FOUND
"Oxygen, hyperbaric (HBO/HBO2)",NOT_FOUND
P2Y12 antiplatelet therapy,NOT_FOUND
PARP inhibitors,NOT_FOUND
PD-1/PD-L1-inhibitors or blocking agents/drugs,NOT_FOUND
Pacemaker leads - Implantable cardiac devices,NOT_FOUND
Palytoxin (a potent zoanthid marine coral toxin),NOT_FOUND
Pamidronate,4674
Pancuronium,441289
Panobinostat,6918837
Papaver rhoeas,NOT_FOUND
Para (4) methyl-aminorex,NOT_FOUND
Para-aminosalicylic acid (PAS),NOT_FOUND
Para-dichlorobenzene,4685
Paracetamol - Acetaminophen,NOT_FOUND
Paraffin (aspirated),NOT_FOUND
Paraffin-Vaseline-Oil-Lipids (Mineral or other) p.o./inhaled/aspirated,NOT_FOUND
Paraldehyde,31264
Paramethoxymethamphetamine,90766
Paraphenylenediamine (hair dye),NOT_FOUND
Paraquat,15939
Parathion,991
Parenteral nutrition,NOT_FOUND
Paritaprevir,45110509
Patent blue,77074
Patritumab deruxtecan,NOT_FOUND
Pedelizumab,NOT_FOUND
Pegylated interferon,NOT_FOUND
Penicillins,2349
Penpulimab,NOT_FOUND
Pentoxifyllin,4740
Pentraxin 2 (rHu),NOT_FOUND
Pepleomycin,6852373
Peplomycin,6852373
Pepper spray,NOT_FOUND
Peppermint oil,NOT_FOUND
Perfluorocarbon (for liquid ventilation),NOT_FOUND
Perhexiline,4746
Peritoneal dialysis,NOT_FOUND
Permethrin,40326
Pesticides,NOT_FOUND
Pethidine,4058
Phenacetin,4754
Phenazopyridine,4756
Phenformin,8249
Phenothiazines,NOT_FOUND
Phenprocoumon,54680692
Phenytoin (diphenylhydantoin),NOT_FOUND
Pholcodine,5311356
Phosgene (carbonyl chloride),NOT_FOUND
Phosphine (H3P),NOT_FOUND
"Phosphorus, white (fumes)",NOT_FOUND
Phytonadione (Vitamin K1),NOT_FOUND
Pidilizumab,NOT_FOUND
Pill (aspirated),NOT_FOUND
Pills - Tablets,NOT_FOUND
Pine oil,NOT_FOUND
Piperacilline,43672
Piperazine,4837
Piritrexim,54369
Pitressin,644077
Pituitary snuff,NOT_FOUND
Placebos,NOT_FOUND
"Plants, flowers, leaves",NOT_FOUND
Plasma,NOT_FOUND
Platelet transfusion,NOT_FOUND
Platinum salts,NOT_FOUND
Poison hemlock,NOT_FOUND
Polatuzumab vedotin,NOT_FOUND
Polyacrylamide hydrogel,NOT_FOUND
Polyalkylimide dermal filler(s),NOT_FOUND
Polyethylene glycol (PEG),NOT_FOUND
Polymyxin,NOT_FOUND
Polypill,NOT_FOUND
Poppy (Papaverum somniferum - Poppy seeds,NOT_FOUND
Potassium permanganate,516875
Povidone - Povidone iodine,NOT_FOUND
Poziotinib,25127713
Practolol,4883
Pranlukast,4887
Pranoprofen,4888
Preservatives,NOT_FOUND
Primaquine,4908
Prinomastat,466151
Pristane,15979
Probiotics,NOT_FOUND
Propane,6334
Propanil,4933
Propanol,1031
Propitocaine,4906
Propolis,NOT_FOUND
Propylhexedrine,7558
Propyliodone,4949
Propylthiouracil (PTU),NOT_FOUND
Prostacyclin,5282411
Prostaglandin E1,5280723
Prostaglandin F2-alpha,5280363
Prostaglandins,NOT_FOUND
Prostaglandins (inhaled),NOT_FOUND
Prostodin,NOT_FOUND
Proteasome inhibitors,NOT_FOUND
Prothrombin complex concentrate (PCC),NOT_FOUND
Proton beam therapy,NOT_FOUND
Proton pump inhibitors (PPI),NOT_FOUND
Psychotropic drugs,NOT_FOUND
Psyllium,181572
Pulmonary function testing (PFT),NOT_FOUND
Pulmonary hypertension therapy,NOT_FOUND
Pulmonary vasodilator therapy,NOT_FOUND
Pyrethroid insecticides,NOT_FOUND
Pyribenzamine,44370233
Pyrimethamine-dapsone,NOT_FOUND
Pyrimethamine-sulfadoxine,65404
Quetiapine overdose,NOT_FOUND
Quinolones,6038
Rabacfosadine,16047979
Rachacha (so-called),NOT_FOUND
Radiation therapy (early effects),NOT_FOUND
Radiation therapy (endobronchial brachytherapy),NOT_FOUND
Radiation therapy (medium term & late effects),NOT_FOUND
Radiation therapy (total body),NOT_FOUND
Radiation therapy to the breast,NOT_FOUND
Radiation therapy to the chest,NOT_FOUND
"Radiation therapy, infusional (injected 131I or 90Y radioactivity)",NOT_FOUND
"Radiation therapy, mantle-field-",NOT_FOUND
"Radiation therapy, stereotactic (SBRT)",NOT_FOUND
Radiation therapy: carbon ion,NOT_FOUND
Radioactive seeds,NOT_FOUND
Radiocontrast media (RCM),NOT_FOUND
Radiofrequency pulmonary ablation,NOT_FOUND
Radioiodine,167195
Radiopharmaceuticals,NOT_FOUND
Ranimustine,71741
Rapacuronium,5311399
Realgar - Realgar therapy,NOT_FOUND
Recreational drugs,NOT_FOUND
Resins (p.o.),NOT_FOUND
"Resorcinol (1, 3 benzenediol) (topical/systemic)",NOT_FOUND
Ricin (Castor oil),NOT_FOUND
Ridaforolimus,11520894
Rifamycin SV,6324616
Riot control agents (RCA),NOT_FOUND
Ritodrine,33572
Rituximab-CHOP regimen (R-CHOP),NOT_FOUND
Rociletinib,57335384
Rodenticides,NOT_FOUND
Rofosbuvir,NOT_FOUND
Romiplostim,NOT_FOUND
Rovalpituzumab,NOT_FOUND
Ruxolitinib dicontinuation/withdrawal,NOT_FOUND
SAR260301,135565159
SGN-30,NOT_FOUND
Sacituzumab (govitecan),NOT_FOUND
Sacubitril,9811834
Salbutamol (i.v.),NOT_FOUND
Salbutamol - Albuterol,NOT_FOUND
Salt (NaCl),NOT_FOUND
Salt pipe,NOT_FOUND
Sauropus androgynus,NOT_FOUND
Secondhand/Side stream tobacco smoke - Passive smoking,NOT_FOUND
Sedatives,NOT_FOUND
Selective serotonin reuptake inhibitors (SSRI)- Serotonergic drugs,NOT_FOUND
Self-injection of drugs/substances,NOT_FOUND
Semaglutide,56843331
Semustine (methyl-CCNU),NOT_FOUND
Serrapeptase,171666295
Sesame oil,NOT_FOUND
Shark oil,NOT_FOUND
Shisha smoking,NOT_FOUND
"Silica, crystalline",NOT_FOUND
"Silicone, fluid",NOT_FOUND
Silver nitrate,24470
Sintilimab,NOT_FOUND
Skin Popping,NOT_FOUND
Smoke bomb,NOT_FOUND
Snake envenoming,NOT_FOUND
"Sniffed drugs (opioids, acetaminophen)",NOT_FOUND
Sodium nitrite (NaNO2),NOT_FOUND
Solvent/detergent plasma,NOT_FOUND
Soy sauce,NOT_FOUND
Soybean,NOT_FOUND
Space OAR(R) hydrogel,NOT_FOUND
Spinal manipulative therapy,NOT_FOUND
Spirogermanium,39075
Statins,NOT_FOUND
Status post-autologous bone marrow transplantation,NOT_FOUND
Status post-coronary artery bypass graft (CABG),NOT_FOUND
Status post-hematopoietic stem cell (HSCT) or bone marrow transplantation (BMT),NOT_FOUND
Status post-kidney transplantation,NOT_FOUND
Status post-liver transplantation,NOT_FOUND
Status post-lung transplantation,NOT_FOUND
Status post-solid organ transplantation,NOT_FOUND
Status post-thoracic/cardiovascular surgery,NOT_FOUND
Stem cell infusion/transplantation,NOT_FOUND
"Stimulants, psychostimulants, psychoactive substances",NOT_FOUND
Strychnine,441071
Sucralfate (inhaled or aspirated),NOT_FOUND
Sudan red dye,NOT_FOUND
Sulfa drugs,NOT_FOUND
Sulfacetamide,5320
Sulfadiazine,5215
Sulfadoxine,17134
Sulfamethoxypyridazine,5330
Sulfamides - Sulfonamides,NOT_FOUND
Sulfanilamide,5333
Sulfites,1099
Sulfoxone,5351
Sulfur mustard (mustard gas),NOT_FOUND
Sulprostone,5312153
Sulthiame,5356
Sunko (smokeless) tobacco,NOT_FOUND
Superwarfarins (vitamin K super antagonist rodenticides),NOT_FOUND
Surfactant,NOT_FOUND
Surgical adhesives,NOT_FOUND
Surgical lung biopsy,NOT_FOUND
Suxamethonium,5314
Synephrine,7172
Synthol,7043
T cell therapy,NOT_FOUND
TAS-102,NOT_FOUND
TGN1412,NOT_FOUND
TNF-alpha,44356648
TNF-alpha antagonists / inhibitors,NOT_FOUND
Tacholiquine,NOT_FOUND
Tacrolimus (FK506),445643
Tafenoquine,115358
"Talc (inhaled, sniffed, i.v., intrapleural)",NOT_FOUND
Tallysomycin,NOT_FOUND
Tarlatanab,NOT_FOUND
Taxanes,78384800
Tazobactam,123630
Tear gas,10757
Tegafur-uracil,104747
Teicoplanin,133065662
Telisotuzumab vedotin,NOT_FOUND
Tenidap,60712
Terbutaline (parenteral),NOT_FOUND
Terrorism and bioterrorism agents,NOT_FOUND
Testolone,44200882
Tetanus antitoxin,NOT_FOUND
Tetanus vaccination,NOT_FOUND
Tetrachloroethylene - Perchlorethylene (C2Cl4),NOT_FOUND
Tetrahydrocannabinol (THC),NOT_FOUND
Tetramisole,3913
Thiamphenicol,27200
Thiazolidinediones,NOT_FOUND
Thiocolchicoside,9915886
Thiopental,3000715
Thiopentone,3000715
Thiosemicarbazone 3-aminopyridine-2-carboxaldehyde,NOT_FOUND
Thiosemicarbazones,NOT_FOUND
Thiriam (dithiocarbamate). Inhaled,NOT_FOUND
Thorotrast,14808
Thrombin,NOT_FOUND
Thrombolytic (fibrinolytic) agents,NOT_FOUND
Thyroid hormones (exogenous),NOT_FOUND
Thyroid stimulating hormone (rnTSH),NOT_FOUND
Tianeptine,68870
Tildrakizumab,NOT_FOUND
Tiopronine,5483
Tipepidine,5484
Tisagenlecleucel,NOT_FOUND
Tislelizumab,NOT_FOUND
Tisotumab vedotin,NOT_FOUND
Tissue plasminogen activator (r-),NOT_FOUND
Tivantinib,11494412
Tobacco smoke - Cigarette smoking,NOT_FOUND
Tobacco snuff,NOT_FOUND
"Tobramycin (nebulized, inhaled)",NOT_FOUND
Tocainide,38945
Tocolytic therapy,NOT_FOUND
Tolazamide,5503
Tolfenamic acid,610479
Tolperisone,5511
Tosufloxacin,5517
Toxic alcohols,NOT_FOUND
Tozinameran,NOT_FOUND
Transcatheter embolization,NOT_FOUND
Transhepatic arterial chemoembolization (TACE),NOT_FOUND
Transjugular intrahepatic portosystemic shunt (TIPS),NOT_FOUND
Trapentadol,NOT_FOUND
Trastuzumab deruxtecan,NOT_FOUND
Trastuzumab emtansine (Ado-trastuzumab emtansine - TDM-1),NOT_FOUND
Traumaliv (labeled as natural analgesic/antiinflammatory natural product),NOT_FOUND
Tremelimumab,NOT_FOUND
Trenbolone,25015
"Treprostinil, inhaled",NOT_FOUND
Trichloroethylene,6575
Tricyclic antidepressants - Tricyclic antidepressant poisoning,NOT_FOUND
Trifluridine-tipiracil (TAS-102),NOT_FOUND
Trimeperidine,20055107
Trimethaphan camsylate,44602409
Trimethoprim sulfamethoxazole (TMP-SMX),NOT_FOUND
Triptans,NOT_FOUND
Trofosfamide,65702
Troglitazone,5591
"Tryptophan (l-tryptophan, synthetic)",NOT_FOUND
Twin-to-twin transfusion,NOT_FOUND
Tyrosine kinase inhibitors (BCR-ABL) TKI,NOT_FOUND
Tyrosine kinase inhibitors (EGFR) TKI,NOT_FOUND
U-47700,71719125
Umbralisib,72950888
Uterine artery embolization,NOT_FOUND
Vaccination - Immunization,NOT_FOUND
Vaccines,NOT_FOUND
Valerophenone (2-pyrrolidino-),NOT_FOUND
Valproate (Valproic acid),NOT_FOUND
Vantedanib,NOT_FOUND
Vaping,NOT_FOUND
Vaseline,NOT_FOUND
Vasoactive medications in the ICU,NOT_FOUND
"Vasodilators, systemic",NOT_FOUND
Vecuronium,39765
Vegetable oil,NOT_FOUND
Vehicle,NOT_FOUND
Vena cava stenting,NOT_FOUND
Venipuncture,NOT_FOUND
Venocuran,NOT_FOUND
"Venous cannula, catheter, lead(s), implantable device",NOT_FOUND
Ventriculoperitoneal shunt,NOT_FOUND
Veralpride,NOT_FOUND
Vertebroplasty (kyphoplasty),NOT_FOUND
Vicks Vaporub TM (R),NOT_FOUND
Vinca alkaloids,NOT_FOUND
Vindesine,40839
Vitamin A,445354
Vitamin D,NOT_FOUND
Vitamin D3,5280795
Vitamin E (parenteral),NOT_FOUND
Vitamin E acetate (inhaled),NOT_FOUND
"Vitamin E acetate (vaped, inhaled)",NOT_FOUND
Vitamin K,5280483
Vocal fold injection augmentation,NOT_FOUND
Vorasidenib (AG881),117817422
Walking test (6-min-),NOT_FOUND
"Waterpipe (narghile, shisha) smoking",NOT_FOUND
Waterproofing agents/sprays - Household cleansing agents and aerosols,NOT_FOUND
Weed oil,NOT_FOUND
"Weight loss-, slimming agents",NOT_FOUND
Xenadrine,9294
Xylitol,6912
Xylocaine,3676
Yew (Taxus baccata) leaves/berries,NOT_FOUND
Yohimbine,8969
Yttrium90 radioembolization,NOT_FOUND
Zimberelimab,NOT_FOUND
Zinostatin,57125363
Zomepirac,5733
Zoster vaccination,NOT_FOUND
Zotarolimus,9876378
nab-paclitaxel,36314
rhDNase (inhaled),NOT_FOUND
