Drug_Name,PubChem_ID
Bromocarbamide,2447
Bronchial thermoplasty,NOT_FOUND
Bronchoalveolar lavage (BAL),NOT_FOUND
Bucillamine,656604
Budesonide (inhaled),NOT_FOUND
Budesonide (p.o.),NOT_FOUND
Buparlisib,16654980
Bupropion overdose,NOT_FOUND
"Bupropion, bupropion poisoning",NOT_FOUND
"Bupropion, inhaled",NOT_FOUND
Busulfan + Melphalan regimen,NOT_FOUND
Butane,7843
"Butanediol (1,4-butanediol)",NOT_FOUND
Butyrfentanyl,621174
CAR T-cell therapy,NOT_FOUND
CDK4/6 inhibitors,NOT_FOUND
COVID19 (SARS-CoV2) vaccination/vaccine,NOT_FOUND
COX2 inhibitors,NOT_FOUND
CPAP device (Philips Respironics),NOT_FOUND
CPAP equipment/use,NOT_FOUND
CTLA4 blocking immunotherapy,NOT_FOUND
Calcineurin inhibitors,NOT_FOUND
Calcium channel blockers,NOT_FOUND
Calcium replacement therapy,NOT_FOUND
Camostat mesilate,5284360
Camphor,2537
Camrelizumab,NOT_FOUND
"Cannabinoids - Cannabinoid receptor agonists (synthetic) (K2, Spice)",NOT_FOUND
Cannabis forced inhalation via a 'Bucket Bong',NOT_FOUND
"Cannabis oil, paste, resin-H oil-Cannabidiol (inhaled)",NOT_FOUND
Carbamates,276
Carbapenems,134085
Carbocysteine,193653
Carbon dioxide (CO2),NOT_FOUND
Carbon monoxide (CO),NOT_FOUND
Carbonic anhydrase inhibitors,NOT_FOUND
Carboxymethylcellulose (topical),NOT_FOUND
Cardiopulmonary resuscitation (CPR),NOT_FOUND
Cardioversion (electrical),NOT_FOUND
Carfentanyl (carboxymethoxyfentanyl),NOT_FOUND
Carmustine (BCNU),NOT_FOUND
Carrelizumab,NOT_FOUND
Cartap hydrochloride,30913
Catheter ablation for atrial fibrillation,NOT_FOUND
Catheter coating,NOT_FOUND
"Cathinones, synthetic ('Bath salts')",NOT_FOUND
Caustic chemicals,NOT_FOUND
Cefipime,NOT_FOUND
Cefodroxil monohydrate,NOT_FOUND
Cefotetan,53025
Cefotiam,43708
Cefradoxil,NOT_FOUND
Ceftaroline,9852981
